"ERROR","S:0","S:1","S:2","S:3","S:4","S:5","S_Mises","S_Principal:0","S_Principal:1","S_Principal:2","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6.1651,8.6442,89.486,-0.92129,-0.0038478,4.5611e-21,5.1428e-19,86.084,-0.92142,8.6444,89.486,0.020564,-0.023277,-2.1105e-21,1,6.5024,57.302,0,0
6.1474,8.7626,89.102,-0.90727,-0.0037248,5.4577e-22,-1.121e-18,85.648,-0.9074,8.7627,89.102,0.020557,-0.023217,-1.2572e-20,1,6.604,57.404,0,0
6.1297,8.8809,88.719,-0.89326,-0.0036018,-2.1033e-20,-1.5354e-18,85.212,-0.89338,8.8811,88.719,0.02055,-0.023158,-1.7318e-21,1,6.7056,57.506,0,0
6.1121,8.9993,88.336,-0.87924,-0.0034789,-7.6693e-21,8.7965e-19,84.776,-0.87937,8.9994,88.336,0.020543,-0.023098,-7.1151e-21,1,6.8072,57.607,0,0
6.0944,9.1177,87.952,-0.86523,-0.0033559,-6.2897e-21,-2.4664e-19,84.34,-0.86535,9.1178,87.952,0.020536,-0.023038,-8.5998e-21,1,6.9088,57.709,0,0
6.0767,9.236,87.569,-0.85121,-0.0032329,3.4417e-21,-2.5742e-19,83.904,-0.85133,9.2361,87.569,0.020529,-0.022978,-2.8421e-21,1,7.0104,57.81,0,0
6.0591,9.3544,87.185,-0.8372,-0.0031099,-1.3774e-20,-1.2356e-18,83.468,-0.83731,9.3545,87.185,0.020522,-0.022918,2.9973e-21,1,7.112,57.912,0,0
6.0414,9.4727,86.802,-0.82318,-0.0029869,-9.2352e-21,-1.6696e-18,83.032,-0.82329,9.4728,86.802,0.020515,-0.022858,9.0201e-21,1,7.2136,58.014,0,0
6.0237,9.5911,86.419,-0.80916,-0.002864,7.7318e-21,2.4588e-19,82.596,-0.80927,9.5912,86.419,0.020509,-0.022798,8.4372e-21,1,7.3152,58.115,0,0
6.0061,9.7094,86.035,-0.79515,-0.002741,2.2785e-20,-2.609e-18,82.16,-0.79525,9.7095,86.035,0.020502,-0.022738,8.0594e-21,1,7.4168,58.217,0,0
5.9884,9.8278,85.652,-0.78113,-0.002618,1.0751e-20,2.5669e-19,81.725,-0.78123,9.8279,85.652,0.020495,-0.022678,-2.1962e-21,1,7.5184,58.318,0,0
5.9707,9.9461,85.268,-0.76712,-0.002495,1.1438e-20,1.3878e-18,81.289,-0.76721,9.9462,85.268,0.020488,-0.022618,1.3401e-21,1,7.62,58.42,0,0
5.9531,10.064,84.885,-0.7531,-0.002372,5.1617e-21,1.8567e-18,80.853,-0.75319,10.065,84.885,0.020481,-0.022558,2.2052e-21,1,7.7216,58.522,0,0
5.9354,10.183,84.502,-0.73909,-0.002249,1.8324e-20,-1.4658e-19,80.417,-0.73918,10.183,84.502,0.020474,-0.022498,-6.285e-21,1,7.8232,58.623,0,0
5.9177,10.301,84.118,-0.72507,-0.0021261,2.2183e-21,3.7014e-19,79.981,-0.72516,10.301,84.118,0.020467,-0.022438,-1.482e-22,1,7.9248,58.725,0,0
5.9001,10.42,83.735,-0.71106,-0.0020031,1.5197e-20,-4.9605e-19,79.545,-0.71114,10.42,83.735,0.02046,-0.022378,3.9853e-21,1,8.0264,58.826,0,0
5.8824,10.538,83.351,-0.69704,-0.0018801,5.513e-21,1.2083e-18,79.109,-0.69712,10.538,83.351,0.020453,-0.022318,3.0824e-21,1,8.128,58.928,0,0
5.8647,10.656,82.968,-0.68303,-0.0017571,-9.998e-21,-3.8872e-19,78.673,-0.6831,10.656,82.968,0.020446,-0.022258,4.7554e-22,1,8.2296,59.03,0,0
5.8471,10.775,82.585,-0.66901,-0.0016341,2.6015e-21,-1.7684e-19,78.237,-0.66908,10.775,82.585,0.020439,-0.022198,-2.5285e-21,1,8.3312,59.131,0,0
5.8294,10.893,82.201,-0.655,-0.0015112,9.9325e-21,4.0553e-19,77.801,-0.65506,10.893,82.201,0.020432,-0.022138,-2.4639e-21,1,8.4328,59.233,0,0
5.8117,11.011,81.818,-0.64098,-0.0013882,2.8305e-20,-2.018e-18,77.366,-0.64104,11.011,81.818,0.020426,-0.022078,7.9752e-21,1,8.5344,59.334,0,0
5.7941,11.13,81.434,-0.62697,-0.0012652,1.317e-20,2.3334e-19,76.93,-0.62702,11.13,81.434,0.020419,-0.022018,2.2559e-21,1,8.636,59.436,0,0
5.7764,11.248,81.051,-0.61295,-0.0011422,5.3359e-21,-1.2277e-19,76.494,-0.613,11.248,81.051,0.020412,-0.021958,-5.4548e-21,1,8.7376,59.538,0,0
5.7588,11.366,80.668,-0.59894,-0.0010192,5.5864e-22,-7.0039e-19,76.058,-0.59899,11.366,80.668,0.020405,-0.021898,1.7146e-21,1,8.8392,59.639,0,0
5.7411,11.485,80.284,-0.58492,-0.00089625,-3.5703e-21,-2.5305e-19,75.622,-0.58497,11.485,80.284,0.020398,-0.021838,-8.0116e-21,1,8.9408,59.741,0,0
5.7234,11.603,79.901,-0.57091,-0.00077327,-1.8446e-21,-1.9365e-19,75.186,-0.57095,11.603,79.901,0.020391,-0.021779,-4.082e-21,1,9.0424,59.842,0,0
5.7058,11.721,79.517,-0.55689,-0.00065029,-2.3411e-21,-6.4888e-19,74.75,-0.55693,11.721,79.517,0.020384,-0.021719,7.3111e-22,1,9.144,59.944,0,0
5.6881,11.84,79.134,-0.54287,-0.0005273,-5.203e-21,-6.3748e-20,74.314,-0.54291,11.84,79.134,0.020377,-0.021659,4.726e-22,1,9.2456,60.046,0,0
5.6704,11.958,78.751,-0.52886,-0.00040432,-3.3911e-21,-2.4274e-19,73.878,-0.52889,11.958,78.751,0.02037,-0.021599,-3.9964e-21,1,9.3472,60.147,0,0
5.6528,12.077,78.367,-0.51484,-0.00028134,-1.8395e-21,8.5752e-20,73.443,-0.51487,12.077,78.367,0.020363,-0.021539,-2.5991e-21,1,9.4488,60.249,0,0
5.6351,12.195,77.984,-0.50083,-0.00015836,4.9925e-21,2.3033e-20,73.007,-0.50085,12.195,77.984,0.020356,-0.021479,-6.0127e-21,1,9.5504,60.35,0,0
5.6174,12.313,77.6,-0.48681,-3.5379e-05,3.0341e-22,-1.3209e-19,72.571,-0.48683,12.313,77.6,0.020349,-0.021419,-4.0386e-21,1,9.652,60.452,0,0
5.5998,12.432,77.217,-0.4728,8.7604e-05,-1.2002e-21,-3.8444e-19,72.135,-0.47281,12.432,77.217,0.020343,-0.021359,4.3421e-21,1,9.7536,60.554,0,0
5.5821,12.55,76.834,-0.45878,0.00021059,-2.503e-23,-3.0362e-20,71.699,-0.45879,12.55,76.834,0.020336,-0.021299,-1.4189e-22,1,9.8552,60.655,0,0
5.5644,12.668,76.45,-0.44477,0.00033357,-7.8609e-22,6.5895e-20,71.263,-0.44478,12.668,76.45,0.020329,-0.021239,-2.8425e-21,1,9.9568,60.757,0,0
5.5468,12.787,76.067,-0.43075,0.00045655,5.6367e-22,-4.1286e-20,70.827,-0.43076,12.787,76.067,0.020322,-0.021179,-4.8202e-22,1,10.058,60.858,0,0
