"U:0","U:1","U:2","S:0","S:1","S:2","S:3","S:4","S:5","S:6","S:7","S:8","S:9","ERROR","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.038989,1.66,6.5074e-09,16.925,158.44,3.3276,-0.0027592,2.5415e-08,-2.852e-05,148.78,3.3276,16.925,158.44,0.67908,1,3.75,53.75,0,5
0.038982,1.6616,6.5339e-09,16.926,158.21,3.1353,-0.0026389,2.2976e-08,-2.9487e-05,148.66,3.1353,16.926,158.21,0.67431,1,3.8,53.8,0,5
0.038974,1.6631,6.5594e-09,16.927,157.99,2.9429,-0.0025178,2.0632e-08,-3.0447e-05,148.55,2.9429,16.927,157.99,0.66954,1,3.85,53.85,0,5
0.038967,1.6647,6.5839e-09,16.928,157.77,2.7503,-0.0023959,1.8381e-08,-3.14e-05,148.44,2.7503,16.928,157.77,0.66478,1,3.9,53.9,0,5
0.038959,1.6662,6.6074e-09,16.93,157.54,2.5577,-0.0022732,1.6225e-08,-3.2346e-05,148.32,2.5577,16.93,157.54,0.66001,1,3.95,53.95,0,5
0.038952,1.6678,6.63e-09,16.932,157.32,2.3649,-0.0021496,1.4163e-08,-3.3284e-05,148.21,2.3649,16.932,157.32,0.65524,1,4,54,0,5
0.038945,1.6693,6.6515e-09,16.934,157.09,2.172,-0.0020252,1.2195e-08,-3.4214e-05,148.09,2.172,16.934,157.09,0.65047,1,4.05,54.05,0,5
0.038937,1.6709,6.6721e-09,16.937,156.87,1.9791,-0.0018999,1.0321e-08,-3.5137e-05,147.98,1.9791,16.937,156.87,0.6457,1,4.1,54.1,0,5
0.03893,1.6724,6.6917e-09,16.94,156.65,1.7859,-0.0017738,8.5414e-09,-3.6053e-05,147.87,1.7859,16.94,156.65,0.64093,1,4.15,54.15,0,5
0.038923,1.6739,6.7103e-09,16.942,156.42,1.5927,-0.0016469,6.8561e-09,-3.6961e-05,147.75,1.5927,16.942,156.42,0.63616,1,4.2,54.2,0,5
