"ERROR","S:0","S:1","S:2","S:3","S:4","S:5","S_Mises","S_Principal:0","S_Principal:1","S_Principal:2","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.6877,13.295,82.352,-0.059045,-0.00043005,1.5793e-11,-3.651e-12,76.617,-0.05903,13.295,82.352,0.020636,-0.022376,-1.8681e-13,1,8.8392,59.639,0,0
2.6866,13.403,81.947,-0.059878,-5.6721e-05,1.5651e-11,-3.6012e-12,76.178,-0.059864,13.403,81.947,0.020631,-0.022315,-1.8688e-13,1,8.9408,59.741,0,0
2.6855,13.511,81.542,-0.060745,0.00031494,1.551e-11,-3.5515e-12,75.739,-0.060731,13.511,81.542,0.020626,-0.022254,-1.8696e-13,1,9.0424,59.842,0,0
2.6844,13.62,81.137,-0.061645,0.00068492,1.5369e-11,-3.5017e-12,75.301,-0.061633,13.62,81.137,0.020621,-0.022194,-1.8704e-13,1,9.144,59.944,0,0
2.6833,13.728,80.732,-0.062581,0.0010532,1.5228e-11,-3.452e-12,74.863,-0.062569,13.728,80.732,0.020616,-0.022133,-1.8711e-13,1,9.2456,60.046,0,0
2.6822,13.836,80.327,-0.06355,0.0014199,1.5087e-11,-3.4022e-12,74.426,-0.063539,13.836,80.327,0.020611,-0.022072,-1.8719e-13,1,9.3472,60.147,0,0
2.6811,13.944,79.922,-0.064553,0.0017848,1.4946e-11,-3.3525e-12,73.988,-0.064544,13.944,79.922,0.020607,-0.022011,-1.8727e-13,1,9.4488,60.249,0,0
2.68,14.053,79.516,-0.06559,0.0021481,1.4805e-11,-3.3027e-12,73.551,-0.065582,14.053,79.516,0.020602,-0.02195,-1.8734e-13,1,9.5504,60.35,0,0
2.6789,14.161,79.111,-0.066662,0.0025098,1.4664e-11,-3.253e-12,73.114,-0.066655,14.161,79.111,0.020598,-0.021889,-1.8742e-13,1,9.652,60.452,0,0
2.6777,14.27,78.706,-0.067767,0.0028697,1.4523e-11,-3.2032e-12,72.677,-0.067761,14.27,78.706,0.020593,-0.021828,-1.875e-13,1,9.7536,60.554,0,0
2.6766,14.378,78.301,-0.068906,0.003228,1.4382e-11,-3.1535e-12,72.241,-0.068902,14.378,78.301,0.020589,-0.021767,-1.8757e-13,1,9.8552,60.655,0,0
2.6755,14.486,77.896,-0.07008,0.0035847,1.4241e-11,-3.1037e-12,71.805,-0.070077,14.486,77.896,0.020585,-0.021706,-1.8765e-13,1,9.9568,60.757,0,0
2.6744,14.595,77.49,-0.071288,0.0039396,1.41e-11,-3.054e-12,71.369,-0.071286,14.595,77.49,0.020581,-0.021645,-1.8773e-13,1,10.058,60.858,0,0
2.6733,14.704,77.083,-0.07253,0.0042195,1.3957e-11,-2.3944e-12,70.931,-0.07253,14.704,77.083,0.020577,-0.021584,-1.878e-13,1,10.16,60.96,0,0
2.6731,14.762,76.766,-0.071406,0.0044871,1.3768e-11,1.9343e-10,70.599,-0.071406,14.762,76.766,0.020573,-0.021523,-1.8788e-13,1,10.262,61.062,0,0
2.6728,14.82,76.449,-0.070294,0.0047544,1.3579e-11,3.8125e-10,70.266,-0.070293,14.82,76.449,0.02057,-0.021462,-1.8795e-13,1,10.363,61.163,0,0
2.6726,14.878,76.132,-0.069193,0.0050215,1.3389e-11,5.6108e-10,69.934,-0.069192,14.878,76.132,0.020566,-0.021401,-1.8802e-13,1,10.465,61.265,0,0
2.6724,14.937,75.816,-0.068104,0.0052883,1.32e-11,7.3291e-10,69.602,-0.068103,14.937,75.816,0.020562,-0.02134,-1.881e-13,1,10.566,61.366,0,0
2.6721,14.995,75.499,-0.067027,0.0055548,1.301e-11,8.9673e-10,69.271,-0.067026,14.995,75.499,0.020559,-0.021279,-1.8817e-13,1,10.668,61.468,0,0
2.6719,15.053,75.182,-0.065962,0.0058212,1.2821e-11,1.0526e-09,68.94,-0.06596,15.053,75.182,0.020555,-0.021218,-1.8825e-13,1,10.77,61.57,0,0
2.6716,15.111,74.865,-0.064908,0.0060872,1.2631e-11,1.2004e-09,68.608,-0.064906,15.111,74.865,0.020552,-0.021157,-1.8832e-13,1,10.871,61.671,0,0
2.6714,15.17,74.548,-0.063866,0.006353,1.2442e-11,1.3402e-09,68.277,-0.063864,15.17,74.548,0.020548,-0.021096,-1.8839e-13,1,10.973,61.773,0,0
2.6711,15.228,74.23,-0.062836,0.0066186,1.2252e-11,1.4721e-09,67.947,-0.062834,15.228,74.23,0.020545,-0.021035,-1.8847e-13,1,11.074,61.874,0,0
2.6709,15.286,73.913,-0.061817,0.0068839,1.2063e-11,1.5959e-09,67.616,-0.061815,15.286,73.913,0.020542,-0.020974,-1.8854e-13,1,11.176,61.976,0,0
2.6706,15.345,73.596,-0.06081,0.007149,1.1873e-11,1.7118e-09,67.286,-0.060808,15.345,73.596,0.020539,-0.020914,-1.8861e-13,1,11.278,62.078,0,0
2.6704,15.403,73.279,-0.059815,0.0074138,1.1684e-11,1.8196e-09,66.956,-0.059813,15.403,73.279,0.020535,-0.020853,-1.8869e-13,1,11.379,62.179,0,0
2.6701,15.462,72.962,-0.058832,0.0076783,1.1494e-11,1.9195e-09,66.626,-0.058829,15.462,72.962,0.020532,-0.020792,-1.8876e-13,1,11.481,62.281,0,0
2.6699,15.52,72.644,-0.05786,0.0079426,1.1305e-11,2.0113e-09,66.297,-0.057858,15.52,72.644,0.02053,-0.020731,-1.8883e-13,1,11.582,62.382,0,0
2.6696,15.579,72.327,-0.0569,0.0082067,1.1115e-11,2.0952e-09,65.967,-0.056898,15.579,72.327,0.020527,-0.02067,-1.8891e-13,1,11.684,62.484,0,0
2.6694,15.637,72.01,-0.055952,0.0084705,1.0926e-11,2.171e-09,65.638,-0.055949,15.637,72.01,0.020524,-0.020609,-1.8898e-13,1,11.786,62.586,0,0
2.6691,15.696,71.692,-0.055015,0.0087341,1.0737e-11,2.2389e-09,65.309,-0.055013,15.696,71.692,0.020521,-0.020548,-1.8906e-13,1,11.887,62.687,0,0
2.6689,15.754,71.375,-0.054091,0.0089974,1.0547e-11,2.2987e-09,64.981,-0.054088,15.754,71.375,0.020519,-0.020487,-1.8913e-13,1,11.989,62.789,0,0
2.6686,15.813,71.058,-0.053178,0.0092604,1.0358e-11,2.3506e-09,64.652,-0.053175,15.813,71.058,0.020516,-0.020426,-1.892e-13,1,12.09,62.89,0,0
2.6684,15.871,70.74,-0.052276,0.0095232,1.0168e-11,2.3945e-09,64.324,-0.052273,15.871,70.74,0.020514,-0.020365,-1.8928e-13,1,12.192,62.992,0,0
2.6682,15.93,70.423,-0.051387,0.0097858,9.9787e-12,2.4303e-09,63.996,-0.051383,15.93,70.423,0.020511,-0.020304,-1.8935e-13,1,12.294,63.094,0,0
2.6679,15.989,70.105,-0.050509,0.010048,9.7892e-12,2.4582e-09,63.668,-0.050506,15.989,70.105,0.020509,-0.020243,-1.8942e-13,1,12.395,63.195,0,0
2.6677,16.047,69.788,-0.049642,0.01031,9.5997e-12,2.4781e-09,63.341,-0.049639,16.047,69.788,0.020507,-0.020182,-1.895e-13,1,12.497,63.297,0,0
2.6674,16.106,69.47,-0.048788,0.010572,9.4103e-12,2.49e-09,63.014,-0.048785,16.106,69.47,0.020504,-0.020121,-1.8957e-13,1,12.598,63.398,0,0
2.6672,16.165,69.152,-0.047945,0.010834,9.2208e-12,2.4938e-09,62.686,-0.047942,16.165,69.152,0.020502,-0.02006,-1.8965e-13,1,12.7,63.5,0,0
2.6669,16.224,68.835,-0.047114,0.011095,9.0313e-12,2.4897e-09,62.36,-0.047111,16.224,68.835,0.0205,-0.019999,-1.8972e-13,1,12.802,63.602,0,0
2.6667,16.282,68.517,-0.046295,0.011356,8.8418e-12,2.4776e-09,62.033,-0.046292,16.282,68.517,0.020498,-0.019938,-1.8979e-13,1,12.903,63.703,0,0
2.6664,16.341,68.199,-0.045487,0.011617,8.6524e-12,2.4575e-09,61.707,-0.045484,16.341,68.199,0.020497,-0.019877,-1.8987e-13,1,13.005,63.805,0,0
2.6662,16.4,67.881,-0.044691,0.011877,8.4629e-12,2.4294e-09,61.38,-0.044688,16.4,67.881,0.020495,-0.019816,-1.8994e-13,1,13.106,63.906,0,0
2.6659,16.459,67.563,-0.043907,0.012138,8.2734e-12,2.3933e-09,61.054,-0.043904,16.459,67.563,0.020493,-0.019755,-1.9001e-13,1,13.208,64.008,0,0
2.6657,16.518,67.246,-0.043134,0.012398,8.084e-12,2.3492e-09,60.729,-0.043131,16.518,67.246,0.020491,-0.019695,-1.9009e-13,1,13.31,64.11,0,0
2.6654,16.577,66.928,-0.042374,0.012657,7.8945e-12,2.2971e-09,60.403,-0.042371,16.577,66.928,0.02049,-0.019634,-1.9016e-13,1,13.411,64.211,0,0
2.6652,16.636,66.61,-0.041625,0.012917,7.705e-12,2.237e-09,60.078,-0.041622,16.636,66.61,0.020488,-0.019573,-1.9023e-13,1,13.513,64.313,0,0
2.6649,16.695,66.292,-0.040887,0.013176,7.5156e-12,2.1689e-09,59.753,-0.040885,16.695,66.292,0.020487,-0.019512,-1.9031e-13,1,13.614,64.414,0,0
